id,date,division,sehar_start,sehar_end,ifter
313,2024-03-24,Khagrachhari,,04:33:00.000,18:07:00.000
314,2024-03-25,Khagrachhari,,04:32:00.000,18:08:00.000
315,2024-03-26,Khagrachhari,,04:30:00.000,18:08:00.000
316,2024-03-27,Khagrachhari,,04:29:00.000,18:09:00.000
317,2024-03-28,Khagrachhari,,04:28:00.000,18:09:00.000
318,2024-03-29,Khagrachhari,,04:27:00.000,18:10:00.000
319,2024-03-30,Khagrachhari,,04:25:00.000,18:10:00.000
320,2024-03-31,Khagrachhari,,04:24:00.000,18:11:00.000
321,2024-04-01,Khagrachhari,,04:23:00.000,18:11:00.000
322,2024-04-02,Khagrachhari,,04:22:00.000,18:12:00.000
323,2024-04-03,Khagrachhari,,04:21:00.000,18:12:00.000
324,2024-04-04,Khagrachhari,,04:20:00.000,18:12:00.000
325,2024-04-05,Khagrachhari,,04:18:00.000,18:13:00.000
326,2024-04-06,Khagrachhari,,04:18:00.000,18:13:00.000
327,2024-04-07,Khagrachhari,,04:17:00.000,18:14:00.000
328,2024-04-08,Khagrachhari,,04:16:00.000,18:14:00.000
329,2024-04-09,Khagrachhari,,04:15:00.000,18:14:00.000
330,2024-04-10,Khagrachhari,,04:14:00.000,18:15:00.000
331,2024-03-12,Bandarban,,04:45:00.000,18:02:00.000
332,2024-03-13,Bandarban,,04:44:00.000,18:02:00.000
333,2024-03-14,Bandarban,,04:43:00.000,18:03:00.000
334,2024-03-15,Bandarban,,04:42:00.000,18:03:00.000
335,2024-03-16,Bandarban,,04:41:00.000,18:04:00.000
336,2024-03-17,Bandarban,,04:40:00.000,18:04:00.000
337,2024-03-18,Bandarban,,04:39:00.000,18:04:00.000
338,2024-03-19,Bandarban,,04:38:00.000,18:05:00.000
339,2024-03-20,Bandarban,,04:37:00.000,18:05:00.000
340,2024-03-21,Bandarban,,04:36:00.000,18:05:00.000
341,2024-03-22,Bandarban,,04:35:00.000,18:06:00.000
342,2024-03-23,Bandarban,,04:34:00.000,18:06:00.000
343,2024-03-24,Bandarban,,04:33:00.000,18:06:00.000
344,2024-03-25,Bandarban,,04:32:00.000,18:07:00.000
345,2024-03-26,Bandarban,,04:30:00.000,18:07:00.000
346,2024-03-27,Bandarban,,04:29:00.000,18:08:00.000
347,2024-03-28,Bandarban,,04:28:00.000,18:08:00.000
348,2024-03-29,Bandarban,,04:27:00.000,18:09:00.000
349,2024-03-30,Bandarban,,04:25:00.000,18:09:00.000
350,2024-03-31,Bandarban,,04:24:00.000,18:10:00.000
351,2024-04-01,Bandarban,,04:23:00.000,18:10:00.000
352,2024-04-02,Bandarban,,04:22:00.000,18:11:00.000
353,2024-04-03,Bandarban,,04:21:00.000,18:11:00.000
354,2024-04-04,Bandarban,,04:20:00.000,18:11:00.000
355,2024-04-05,Bandarban,,04:18:00.000,18:12:00.000
356,2024-04-06,Bandarban,,04:18:00.000,18:12:00.000
357,2024-04-07,Bandarban,,04:17:00.000,18:13:00.000
358,2024-04-08,Bandarban,,04:16:00.000,18:13:00.000
359,2024-04-09,Bandarban,,04:15:00.000,18:13:00.000
360,2024-04-10,Bandarban,,04:14:00.000,18:14:00.000
361,2024-03-12,Sirajganj,,04:53:00.000,18:12:00.000
362,2024-03-13,Sirajganj,,04:52:00.000,18:12:00.000
363,2024-03-14,Sirajganj,,04:51:00.000,18:13:00.000
364,2024-03-15,Sirajganj,,04:50:00.000,18:13:00.000
365,2024-03-16,Sirajganj,,04:49:00.000,18:14:00.000
366,2024-03-17,Sirajganj,,04:48:00.000,18:14:00.000
367,2024-03-18,Sirajganj,,04:47:00.000,18:14:00.000
368,2024-03-19,Sirajganj,,04:46:00.000,18:15:00.000
369,2024-03-20,Sirajganj,,04:45:00.000,18:15:00.000
370,2024-03-21,Sirajganj,,04:44:00.000,18:15:00.000
371,2024-03-22,Sirajganj,,04:43:00.000,18:16:00.000
372,2024-03-23,Sirajganj,,04:42:00.000,18:16:00.000
373,2024-03-24,Sirajganj,,04:41:00.000,18:16:00.000
374,2024-03-25,Sirajganj,,04:40:00.000,18:17:00.000
375,2024-03-26,Sirajganj,,04:38:00.000,18:17:00.000
376,2024-03-27,Sirajganj,,04:37:00.000,18:18:00.000
377,2024-03-28,Sirajganj,,04:36:00.000,18:18:00.000
378,2024-03-29,Sirajganj,,04:35:00.000,18:19:00.000
379,2024-03-30,Sirajganj,,04:33:00.000,18:19:00.000
380,2024-03-31,Sirajganj,,04:32:00.000,18:20:00.000
381,2024-04-01,Sirajganj,,04:31:00.000,18:20:00.000
382,2024-04-02,Sirajganj,,04:30:00.000,18:21:00.000
383,2024-04-03,Sirajganj,,04:29:00.000,18:21:00.000
384,2024-04-04,Sirajganj,,04:28:00.000,18:21:00.000
385,2024-04-05,Sirajganj,,04:26:00.000,18:22:00.000
386,2024-04-06,Sirajganj,,04:26:00.000,18:22:00.000
387,2024-04-07,Sirajganj,,04:25:00.000,18:23:00.000
388,2024-04-08,Sirajganj,,04:24:00.000,18:23:00.000
389,2024-04-09,Sirajganj,,04:23:00.000,18:23:00.000
390,2024-04-10,Sirajganj,,04:22:00.000,18:24:00.000
391,2024-03-12,Pabna,,04:56:00.000,18:15:00.000
